lat,lon,country,n
34.69354862,3.742734323,Algeria,8.744395
-9.49640909,14.72488557,Angola,4.247788
7.934821516,2.46322191,Benin,7.36
-23.78030588,25.17824159,Botswana,7.083333
12.53273612,-1.588462163,Burkina Faso,6.418605
-3.36409113,29.51070654,Burundi,28.536585
7.172149985,11.98404407,Cameroon,10.404412
5.447245017,19.52570577,Central African Republic,86.122449
13.15398834,17.25580589,Chad,7.218935
6.106028304,-4.625732024,Cote d'Ivoire,14.723247
-2.759818268,25.36756919,Democratic Republic of the Congo,9.047619
29.82783718,31.62695363,Egypt,20.498562
15.09019,38.9739751,Eritrea,5.555556
-26.51735056,31.32844071,Eswatini,78.333333
8.822327761,39.3291778,Ethiopia,1.721798
-0.093122587,10.25051696,Gabon,46.521739
12.0031597,-10.82132338,Gambia,12.8
6.716560907,-0.79027299,Ghana,3.785489
9.54305231,-11.64079008,Guinea,14
11.96248416,-15.24772883,Guinea-Bissau,38.5
-0.450844313,37.61186717,Kenya,16.145455
-29.38418044,27.66587309,Lesotho,31.363636
6.4273564,-10.38143702,Liberia,26.153846
31.76259223,17.15890813,Libya,127.285714
-19.0897519,47.38761784,Madagascar,3.873239
-14.64493267,34.55940423,Malawi,8.77551
16.19365037,-2.550087492,Mali,24.258373
18.49859783,-15.05906978,Mauritania,28.958333
-20.25354867,57.54121,Mauritius,6.923077
33.15560508,-6.802272404,Morocco,8.310992
-19.69688462,34.98650435,Mozambique,4.223602
-20.86392476,18.91189397,Namibia,12.692308
14.4852362,5.88265332,Niger,12.270916
9.227575927,8.812684515,Nigeria,12.199622
-3.613751771,14.48900723,Republic of Congo,10
-2.044648968,29.77459449,Rwanda,8.571429
14.0628663,-16.25195558,Senegal,12.267442
8.440394345,-12.43525484,Sierra Leone,140.37037
3.386800835,45.32851219,Somalia,54.695122
-28.32646491,26.98070116,South Africa,22.15
7.705159822,30.70893619,South Sudan,18.070175
13.16836928,29.95151395,Sudan,13.89755
-5.838241615,37.26452455,Tanzania,2.113821
6.846640419,1.156686779,Togo,20
35.50952592,9.713761121,Tunisia,33.94958
0.628241446,32.3711292,Uganda,3.58811
-14.5152056,28.22096029,Zambia,9.365079
-18.48978841,30.50696041,Zimbabwe,36.953642